Opening,0
Italian Game,272
Modern Defense with 1 e4 2.d4 Bg7 3.Nf3,190
Philidor Defense 3.Bc4,185
Kings Pawn Opening Kings Knight Variation,148
Kings Pawn Opening 1...e5,116
Reti Opening Kingside Fianchetto Variation 2.e4 Bg7,91
Modern Defense with 1 e4 2.d4 Bg7,85
Scotch Game 3...exd4 4.Nxd4 Nxd4 5.Qxd4,73
Petrovs Defense Classical Variation,71
Sicilian Defense Old Sicilian Variation 3.Bc4 e6,63
Scotch Game...4.Nxd4 Nxd4 5.Qxd4 d6,62
Four Knights Game Italian Variation,58
Scandinavian Defense,57
Giuoco Piano Game Four Knights Game 5.O O,56
Center Game Accepted Normal Variation,54
Italian Game Two Knights Modern Bishops Opening,53
Van t Kruijs Opening 1...e5,53
Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qd8 4.Nf3,52
Philidor Defense 3.Bc4 Nf6,50
Giuoco Piano Game Main Line,50
Petrovs Defense Three Knights Game,49
Sicilian Defense Old Sicilian Variation 3.Bc4,49
Danish Gambit,49
Giuoco Piano Game Main Line 4...d6 5.d4,48
Italian Game 3...d6 4.c3,47
Caro Kann Defense Advance Short Variation with 4 Nf3...e6,46
Ruy Lopez Opening Morphy Defense Exchange Lutikov Variation,45
Philidor Defense,43
French Defense Normal Variation,43
French Defense Knight Variation,43
Giuoco Piano Game Center Attack 5...exd4 6.cxd4,42
Scandinavian Defense 2.e5,40
Giuoco Piano Game 4.O O Nf6 5.d3 h6,37
Giuoco Piano Game 4.O O Nf6 5.d3 h6 6.c3,37
Kings Pawn Opening,36
Italian Game Knight Attack Normal Variation 5.exd5,36
Modern Defense Standard Line,33
Modern Defense Standard Two Knights Small Center Variation,33
Kings Pawn Opening Leonardis Variation 2...Nf6 3.Nf3,33
Caro Kann Defense Classical Variation,33
Center Game,32
Ruy Lopez Opening,32
Queens Pawn Opening Accelerated London System,32
Sicilian Defense Bowdler Attack 2...Nc6,32
Bishops Opening Boi Variation,31
Giuoco Piano Game Giuoco Pianissimo Variation 4...Nf6,30
Giuoco Piano Game Giuoco Pianissimo Variation 4...Nf6 5.O O d6,30
Giuoco Piano Game 4.O O Nf6 5.d3 O O 6.Bg5,30
Ponziani Opening,30
Vienna Game Falkbeer Vienna Gambit,28
Modern Defense with 1 d4 2.c4 Bg7 3.Nf3,28
Undefined,28
Caro Kann Defense 2.Nf3 d5,27
Caro Kann Defense Exchange Variation 3...cxd5,27
Scotch Game 3...d6,27
Modern Defense with 1 d4,27
Pirc Defense Modern Defense Geller System 2...Nf6 3.Nc3 e5 4.Bc4,26
Giuoco Piano Game 4.O O Nf6,26
Queens Pawn Opening Zukertort Chigorin Variation 3.Bf4 Nf6 4.e3,26
Italian Game 3...d6 4.O O,26
Giuoco Piano Game Giuoco Pianissimo Italian Four Knights Variation 5...O O,25
Giuoco Piano Game Four Knights Game,25
Philidor Defense 3.d4,25
Sicilian Defense Old Sicilian Variation 3.Bc4 e6 4.O O,25
Sicilian Defense Open 3...cxd4 4.Nxd4,24
Ruy Lopez Opening Old Steinitz Defense,24
Modern Defense with 1 e4,24
Sicilian Defense,24
Modern Defense with 1 e4 2.Nc3 Bg7,24
Italian Game Two Knights Modern Bishops Opening 4...h6 5.c3,23
Italian Game Two Knights Modern Bishops Opening 4...h6 5.O O,23
Bishops Opening Boi Variation 3.Nf3,23
Italian Game Two Knights Defense,23
Scotch Game,22
Three Knights Opening 3...Bc5,22
Italian Game Two Knights Modern Bishops Opening 4...d5 5.exd5 Nxd5 6.O O,22
Caro Kann Defense Exchange Variation 3...cxd5 4.Nf3,22
Petrovs Defense,22
Caro Kann Defense 2.Nf3 d5 3.exd5 cxd5,21
Pirc Defense 2.d4,21
Scandinavian Defense Mieses Kotrc Main Line 4.Nf3,21
Modern Defense with 1 d4 2.Nf3 Bg7 3.Bf4 d6 4.e3,21
Modern Defense with 1 e4 2.Bc4 Bg7,21
Giuoco Piano Game 4.O O,21
Van t Kruijs Opening,21
Sicilian Defense French Variation,20
Modern Defense with 1 d4 2.c4 Bg7 3.Nc3,20
Scandinavian Defense Mieses Kotrc Variation 3.Nc3,20
Queens Pawn Opening 1...d5 2.e3,19
Queens Pawn Opening 1...d5,19
Caro Kann Defense 2.d4 d5 3.Nc3,19
Kings Gambit Accepted Kings Knight Gambit,19
Nimzowitsch Defense 2.d4 e6 3.Nf3 d5 4.e5,19
Kings Pawn Opening Kings Knight Variation 2...Nc6,19
French Defense Normal Variation 2...d5 3.Nc3,19
Alapin Sicilian Defense 2...Nc6 3.d4 cxd4 4.cxd4,19
Petrovs Defense 3.d3 Nc6,18
Giuoco Piano Game 4.O O Nf6 5.d3 O O,18
Giuoco Piano Game...5.d3 h6 6.c3 d6,18
Bishops Opening,18
Giuoco Piano Game 4.O O d6 5.c3,18
Giuoco Piano Game Giuoco Pianissimo Variation 4...Nf6 5.O O,17
French Defense Advance Variation,17
Ruy Lopez Opening Berlin Defense 4.Bxc6,17
Four Knights Game Scotch Variation Accepted 5.Nxd4,17
Giuoco Piano Game,17
Alapin Sicilian Defense 2...Nc6 3.Nf3,17
Philidor Defense Exchange Variation 4.Nxd4,16
Giuoco Piano Game Giuoco Pianissimo Italian Four Knights Variation 5...h6,16
Caro Kann Defense Exchange Variation 3...cxd5 4.Nf3 Nc6,16
Giuoco Piano Game Main Line 4...Nf6,15
Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qd8 4.Bc4 Nf6 5.Nf3,15
Four Knights Game Spanish Variation Ranken Variation,15
Englund Gambit 2.dxe5 Nc6 3.Nf3,15
Caro Kann Defense Advance Variation,15
Alapin Sicilian Defense 2...Nc6 3.Nf3 d6 4.d4,15
Modern Defense with 1 e4 2.d4 Bg7 3.Nf3 d6,15
Petrovs Defense 3.d3 Nc6 4.Be2,15
Scandinavian Defense Mieses Kotrc Variation 3.Nc3 Qd8 4.d4,14
Modern Defense with 1 e4 2.d3 Bg7,14
Queens Pawn Opening Zukertort Chigorin Variation 3.e3,14
Giuoco Piano Game Main Line Giuoco Pianissimo Variation,14
Queens Pawn Opening Chigorin Variation 2...Nf6 3.Bf4,14
Ruy Lopez Opening Morphy Defense Exchange Variation 4...dxc6,14
Giuoco Piano Game 4.O O Nf6 5.Nc3 d6,14
Sicilian Defense Nyezhmetdinov Rossolimo Attack 3...Qb6,14
Sicilian Defense 2.Nf3 d6 3.Bc4,14
Philidor Defense 3.Bc4 Be7,14
Pirc Defense Classical Variation 4...Bg7,14
Modern Defense with 1 e4 2.Bc4,14
Scotch Game Scotch Gambit Haxo Gambit 5.c3,14
Sicilian Defense Hyperaccelerated Dragon Variation 3.Bc4 Bg7 4.O O Nc6 5.c3,13
Caro Kann Defense Advance Botvinnik Carls Defense 4.c3 Nc6 5.Nf3 Bg4,13
